timestamp,symbol,name,chain_type,issuance_usd_24h,issuance_to_mcap,issuance_to_volume,sell_pressure_usd_24h,sell_fraction,dilution_pressure,absorption_ratio,max_supply,circulating_supply,supply_issued_pct,mining_algo,useful_output,block_time,github_stars,github_commits_7d,active_developers,security_spend_usd_24h,compute_efficiency,fundamental_momentum
2026-09-18T21:59:45.692403,QUBIC,Qubic,useful-compute,0.0,,,0.0,0.6,,,200000000000.0,,0.0,Brain-inspired AI computation,AI inference via Aigarth,,207,3,2,0.0,,
2026-09-18T21:59:45.692477,PRL,Pearl,useful-compute,0.0,,,0.0,0.6,,,2100000000.0,,0.0,Matrix multiplication (cuPOW),AI inference (LLM serving),194.0,304,1,1,0.0,,
2026-09-18T21:59:45.692522,NOCK,Nockchain,zk-pow,2297.014,2.1547838503715208e-05,0.0011884077916030733,1148.507,0.5,0.007864961053856052,841.462002408344,4294967296.0,,0.0,STARK proofs over NockVM execution,Verifiable computation,,494,6,3,2297.014,,
2026-09-18T21:59:45.692579,XMR,Monero,privacy,233284.32,2.2962689681917572e-05,0.001507798358946224,163299.024,0.7,0.008381381733899913,663.2186552443816,,,,RandomX (CPU-optimized),None (pure consensus security),120.0,13161,0,0,233284.32,,
2026-09-18T21:59:45.692640,GNK,Gonka,compute-market,0.0,,,0.0,0.6,,,,,,AI inference as mining,LLM inference via OpenAI-compatible API,,646,0,0,0.0,,
2026-09-18T21:59:45.692674,TSC,TensorCash,ai-inference,0.0,,,0.0,0.6,,,,,,LLM inference with proof transcripts,Verifiable AI inference,,0,0,0,0.0,,
2026-09-18T21:59:45.692724,XEL,Xelis,privacy-dag,0.0,,,0.0,0.6,,,18400000.0,,0.0,Xelis Hash (ChaCha8 + Blake3),None (egalitarian PoW),5.0,465,0,0,0.0,,
2026-09-18T21:59:45.692754,XTM,Tari,privacy,0.0,,,0.0,0.6,,,21000000000.0,,0.0,RandomX (CPU) + merge mined with Monero,None (privacy-focused PoW),120.0,567,13,2,0.0,,
2026-09-18T21:59:45.692786,NPT,Neptune Cash,privacy-stark,0.0,,,0.0,0.6,,,,,,ZK-STARK proofs,Verifiable privacy,,0,0,0,0.0,,
2026-09-18T21:59:45.692817,QTC,Qubitcoin,quantum-sim,0.0,,,0.0,0.6,,,2310000.0,,0.0,16-qubit quantum circuit simulation,Quantum computing research,675.0,0,0,0,0.0,,
